('7688752', '10.89.206.89')
('7688753', '10.89.206.121')
('7688750', '10.89.206.98')
('7688751', '10.89.206.93')
('6051046', '172.23.193.143')
('6051045', '172.23.193.142')
('143055913', '10.89.206.122')
('143055921', '172.20.165.73')
('6051048', '172.23.193.144')
('143055919', '172.20.165.71')
('7688737', '172.21.146.4')
('7688730', '10.89.195.114')
('7688732', '10.89.195.113')
('7688715', '10.89.204.202')
('7688713', '10.58.235.42')
('7688710', '10.89.204.233')
('7688721', '10.89.204.25')
('7688747', '10.89.206.99')
('143055918', '172.20.165.70')
('7688749', '10.89.204.236')
('7688701', '10.89.204.32')
('7688700', '10.89.204.241')
('7688703', '10.89.204.45')
('7688705', '10.89.204.30')
('7688704', '10.89.204.239')
('7688707', '10.89.204.27')
('7688706', '10.89.204.67')
('7688709', '10.89.204.31')
('7688708', '10.89.204.240')
('143055941', '10.89.195.241')
('143055920', '172.20.165.72')
('143055942', '10.89.195.242')
('7688693', '10.89.204.39')
('7688697', '10.89.204.38')
('7688696', '10.89.204.29')
('7688695', '10.89.204.89')
('7688694', '10.89.204.121')
('143055922', '172.20.165.82')
('7688699', '10.89.204.238')
('7688698', '10.89.204.242')
('143055923', '172.20.165.87')

4k --> Subslot?
2k -->
