Device ID,Device IP,Device Name,Device Type,Line Cards,Slot Usage,Capacity,Utilization
7688693,10.89.204.39,SPO_IG,Cisco NCS 2006,"{u'NCS2K-EDRA1-26C': 2, u'15454-M-TNC-K9': 2}",4,8,0.5
7688694,10.89.204.121,RJO_EN,Cisco NCS 2015,"{u'NCS2K-MF10-6RU': 1, u'15454-M-TNCE-K9': 4, u'NCS2K-200G-CK-C': 4, u'NCS2K-20-SMRFS-CV': 4, u'NCS2K-TNCS-O-K9': 2, u'NCS2K-MF-6RU': 1, u'NCS2K-MF-M16LC-CV': 6, u'NCS2K-200G-CK': 2, u'NCS2K-MF-MPO-16LC': 2, u'MF-MPO-16LC': 8, u'MF-UPG-4': 1, u'NCS2K-MF-UPG-4-CV': 1, u'NCS2K-MF-DEG-5-CV': 1}",37,49,0.7551020408163265
7688695,10.89.204.89,VRD_SC,Cisco NCS 2006,"{u'NCS2K-EDRA1-26C': 2, u'15454-M-TNCE-K9': 1, u'15454-M-TNC-K9': 1}",4,8,0.5
7688696,10.89.204.29,PAT_PT,Cisco NCS 2006,"{u'15454-OPT-EDFA-17': 1, u'NCS2K-TNCS-O-K9': 2, u'NCS2K-EDRA2-26C': 1}",4,8,0.5
7688697,10.89.204.38,SPO_MB,Cisco NCS 2006,"{u'15454-M-TNC-K9': 2, u'15454-OPT-EDFA-17': 1, u'NCS2K-EDRA2-26C': 1}",4,8,0.5
7688698,10.89.204.242,SERP_BR,Cisco NCS 2006,"{u'15454-M-TNC-K9': 1, u'15454-OPT-EDFA-17': 1, u'NCS2K-TNCS-O-K9': 1, u'NCS2K-EDRA2-26C': 1}",4,8,0.5
7688699,10.89.204.238,TTE_SC,Cisco NCS 2006,"{u'15454-M-TNC-K9': 2, u'NCS2K-EDRA1-26C': 2}",4,8,0.5
7688700,10.89.204.241,IZA_BR,Cisco NCS 2006,"{u'NCS2K-EDRA1-26C': 2, u'15454-M-TNCE-K9': 1, u'15454-M-TNC-K9': 1}",4,8,0.5
7688701,10.89.204.32,GJA_2AA,Cisco NCS 2006,"{u'NCS2K-EDRA1-26C': 2, u'NCS2K-TNCS-O-K9': 2}",4,8,0.5
7688703,10.89.204.45,SPO_PH,Cisco NCS 2006,"{u'15454-M-TNCE-K9': 5, u'NCS2K-200G-CK-C': 3, u'NCS2K-20-SMRFS-CV': 3, u'NCS2K-TNCS-O-K9': 1, u'MF-MPO-16LC': 5, u'NCS2K-100G-CK-C': 1, u'NCS2K-400G-XP': 1, u'MF-PPMESH8-5AD': 1}",20,32,0.625
7688704,10.89.204.239,ADA_BR,Cisco NCS 2006,"{u'15454-M-TNC-K9': 2, u'NCS2K-EDRA2-26C': 2, u'NCS2K-16-WXC-FS': 1}",5,8,0.625
7688705,10.89.204.30,MRES_FL,Cisco NCS 2006,"{u'NCS2K-EDRA1-26C': 2, u'NCS2K-TNCS-O-K9': 2}",4,8,0.5
7688706,10.89.204.67,RJO_AC,Cisco NCS 2006,"{u'15454-OPT-EDFA-17': 2, u'NCS2K-TNCS-O-K9': 2}",4,8,0.5
7688707,10.89.204.27,RJO_AM,Cisco NCS 2006,"{u'NCS2K-MF10-6RU': 1, u'NCS2K-MF-MPO-16LC': 4, u'NCS2K-200G-CK-C': 2, u'NCS2K-TNCS-K9': 2, u'NCS2K-20-SMRFS-CV': 2, u'NCS2K-TNCS-O-K9': 2, u'NCS2K-20-SMRFS': 1, u'15454-M-TNCE-K9': 2, u'NCS2K-MF-M16LC-CV': 1, u'NCS2K-200G-CK': 1, u'NCS2K-PPMESH8-5AD': 1, u'MF-MPO-16LC': 5, u'NCS2K-100G-CK-C': 1, u'NCS2K-400G-XP': 1, u'MF-PPMESH8-5AD': 1}",27,41,0.6585365853658537
7688708,10.89.204.240,CHP_AS,Cisco NCS 2006,"{u'15454-M-TNC-K9': 1, u'NCS2K-EDRA1-26C': 2, u'15454-M-TNCE-K9': 1}",4,8,0.5
7688709,10.89.204.31,STS_WL,Cisco NCS 2006,"{u'15454-M-TNC-K9': 1, u'15454-OPT-EDFA-17': 1, u'NCS2K-TNCS-O-K9': 1, u'NCS2K-EDRA2-26C': 1}",4,8,0.5
7688721,10.89.204.25,GRM_BR,Cisco NCS 2006,"{u'15454-M-TNC-K9': 1, u'15454-M-TNCE-K9': 1, u'NCS2K-EDRA1-26C': 2}",4,8,0.5
143055918,172.20.165.70,R1,Cisco NCS 2006,"{u'NCS2K-MF-UPG-4': 1, u'15454-M-100G-LC-C': 1, u'NCS2K-MF-DEG-5': 1, u'NCS2K-200G-CK-C': 1, u'NCS2K-TNCS-K9': 3, u'NCS2K-20-SMRFS-CV': 1, u'NCS2K-TNCS-O-K9': 1, u'NCS2K-20-SMRFS': 1, u'NCS2K-MF-M16LC-CV': 1, u'MF-MPO-16LC': 2, u'MF-UPG-4': 1}",14,16,0.875
143055919,172.20.165.71,R2,Cisco NCS 2006,"{u'NCS2K-MF-UPG-4': 1, u'15454-M-100G-LC-C': 1, u'NCS2K-MF-DEG-5': 1, u'NCS2K-200G-CK-C': 1, u'NCS2K-TNCS-K9': 3, u'NCS2K-20-SMRFS-CV': 2, u'NCS2K-TNCS-O-K9': 1, u'NCS2K-MF-MPO-16LC': 1, u'MF-MPO-16LC': 1, u'MF-UPG-4': 1}",13,16,0.8125
143055920,172.20.165.72,R3,Cisco NCS 2006,"{u'MF-UPG-4': 1, u'NCS2K-MF-DEG-5': 1, u'NCS2K-200G-CK-C': 1, u'NCS2K-TNCS-K9': 3, u'NCS2K-20-SMRFS-CV': 3, u'NCS2K-TNCS-O-K9': 1, u'NCS2K-MF-MPO-16LC': 2, u'MF-MPO-16LC': 2, u'NCS2K-400GXP-L-K9': 1, u'NCS2K-MF-UPG-4': 1}",16,16,1.0
143055921,172.20.165.73,R4,Cisco NCS 2006,"{u'NCS2K-400G-XP': 1, u'15454-M-100G-LC-C': 1, u'NCS2K-MF-MPO-16LC': 1, u'NCS2K-200G-CK-C': 1, u'NCS2K-TNCS-K9': 3, u'NCS2K-20-SMRFS-CV': 2, u'NCS2K-TNCS-O-K9': 1, u'NCS2K-20-SMRFS': 1, u'NCS2K-MF-UPG-4-CV': 1, u'NCS2K-MF-M16LC-CV': 1, u'MF-MPO-16LC': 2, u'MF-UPG-4': 1, u'NCS2K-MF-DEG-5-CV': 1}",17,16,1.0625
143055956,10.89.204.20,NCS2002-Node20,Cisco NCS 2002,"{u'15454-OPT-EDFA-24': 2, u'NCS2K-TNCS-O-K9': 1}",3,8,0.375
143055957,10.89.204.70,NCS2006-Node70,Cisco NCS 2006,"{u'NCS2K-400G-XP': 1, u'15454-M-TNCE-K9': 1, u'NCS2K-TNCS-K9': 1, u'NCS2K-20-SMRFS': 3, u'MF-MPO-16LC': 2, u'MF-UPG-4': 1}",9,8,1.125
143055958,10.89.204.103,NCS2006-Node103,Cisco NCS 2006,"{u'15454-M-TNCE-K9': 1, u'NCS2K-TNCS-O-K9': 1, u'NCS2K-20-SMRFS': 3, u'MF-MPO-16LC': 3, u'NCS2K-400G-XP': 1, u'MF-PPMESH8-5AD': 1}",10,8,1.25
143055959,10.89.204.104,NCS2006-Node104,Cisco NCS 2006,"{u'15454-M-TNCE-K9': 1, u'NCS2K-20-SMRFS': 2, u'15454-M-TNC-K9': 1, u'MF-MPO-16LC': 2, u'NCS2K-400G-XP': 1, u'MF-PPMESH8-5AD': 1}",8,8,1.0
